Days since 1/3/23,Company,Value
95.0,2.0,124.0
95.0,3.0,64.300003
95.0,4.0,275.5
96.0,1.0,27.92
96.0,2.0,124.0
96.0,3.0,64.300003
96.0,4.0,275.5
97.0,1.0,27.92
97.0,2.0,124.0
97.0,3.0,64.300003
97.0,4.0,275.5
98.0,1.0,27.92
98.0,2.0,124.0
98.0,3.0,64.300003
98.0,4.0,275.5
99.0,1.0,27.92
99.0,2.0,124.0
99.0,3.0,64.300003
99.0,4.0,275.5
100.0,1.0,27.92
100.0,2.0,124.0
100.0,3.0,64.300003
100.0,4.0,275.5
101.0,1.0,27.92
101.0,2.0,124.0
101.0,3.0,64.300003
101.0,4.0,275.5
102.0,1.0,27.92
102.0,2.0,124.0
102.0,3.0,64.300003
102.0,4.0,275.5
103.0,1.0,27.92
103.0,2.0,124.0
103.0,3.0,64.300003
103.0,4.0,275.5
104.0,1.0,27.92
104.0,2.0,124.0
104.0,3.0,64.300003
104.0,4.0,275.5
105.0,1.0,27.92
105.0,2.0,124.0
105.0,3.0,64.300003
105.0,4.0,275.5
106.0,1.0,27.92
106.0,2.0,124.0
106.0,3.0,64.300003
106.0,4.0,275.5
107.0,1.0,27.92
107.0,2.0,124.0
107.0,3.0,64.300003
107.0,4.0,275.5
108.0,1.0,27.92
108.0,2.0,124.0
108.0,3.0,64.300003
108.0,4.0,275.5
109.0,1.0,27.92
109.0,2.0,124.0
109.0,3.0,64.300003
109.0,4.0,275.5
110.0,1.0,27.92
110.0,2.0,124.0
110.0,3.0,64.300003
110.0,4.0,275.5
111.0,1.0,27.92
111.0,2.0,124.0
111.0,3.0,64.300003
111.0,4.0,275.5
112.0,1.0,27.92
112.0,2.0,124.0
112.0,3.0,64.300003
112.0,4.0,275.5
113.0,1.0,27.92
113.0,2.0,124.0
113.0,3.0,64.300003
113.0,4.0,275.5
114.0,1.0,27.92
114.0,2.0,124.0
114.0,3.0,64.300003
114.0,4.0,275.5
115.0,1.0,27.92
115.0,2.0,124.0
